sexo,empleo,nivel_sueldo,rango_edad,valor
1,2,2,30-39 | 40-49,1556185
1,2,2,30-39 | 50-59,2048324
1,2,2,30-39 | >60,2257904
1,2,2,40-49 | 40-49,705011
1,2,2,40-49 | 50-59,1197150
1,2,2,40-49 | >60,1406730
1,2,2,50-59 | 50-59,492139
1,2,2,50-59 | >60,701719
1,2,2,>60 | >60,209580
,,,,.
1,2,3,15-19 | 15-19,9111
1,2,3,15-19 | 20-29,211685
1,2,3,15-19 | 30-39,394259
1,2,3,15-19 | 40-49,621754
1,2,3,15-19 | 50-59,737257
1,2,3,15-19 | >60,786469
1,2,3,20-29 | 20-29,202574
1,2,3,20-29 | 30-39,385148
1,2,3,20-29 | 40-49,612643
1,2,3,20-29 | 50-59,728146
1,2,3,20-29 | >60,777358
1,2,3,30-39 | 30-39,182574
1,2,3,30-39 | 40-49,410069
1,2,3,30-39 | 50-59,525572
1,2,3,30-39 | >60,574784
1,2,3,40-49 | 40-49,227495
1,2,3,40-49 | 50-59,342998
1,2,3,40-49 | >60,392210
1,2,3,50-59 | 50-59,115503
1,2,3,50-59 | >60,164715
1,2,3,>60 | >60,49212
,,,,.
1,2,4,15-19 | 15-19,3436
1,2,4,15-19 | 20-29,65902
1,2,4,15-19 | 30-39,155553
1,2,4,15-19 | 40-49,214522
1,2,4,15-19 | 50-59,271706
1,2,4,15-19 | >60,284574
1,2,4,20-29 | 20-29,62466
1,2,4,20-29 | 30-39,152117
1,2,4,20-29 | 40-49,211086
1,2,4,20-29 | 50-59,268270
1,2,4,20-29 | >60,281138
1,2,4,30-39 | 30-39,89651
1,2,4,30-39 | 40-49,148620
1,2,4,30-39 | 50-59,205804
1,2,4,30-39 | >60,218672
1,2,4,40-49 | 40-49,58969
1,2,4,40-49 | 50-59,116153
1,2,4,40-49 | >60,129021
1,2,4,50-59 | 50-59,57184
1,2,4,50-59 | >60,70052
1,2,4,>60 | >60,12868
,,,,.
1,2,5,15-19 | 15-19,464
1,2,5,15-19 | 20-29,16585
1,2,5,15-19 | 30-39,34255
1,2,5,15-19 | 40-49,45761
1,2,5,15-19 | 50-59,52200
1,2,5,15-19 | >60,57104
1,2,5,20-29 | 20-29,16121
1,2,5,20-29 | 30-39,33791
1,2,5,20-29 | 40-49,45297
1,2,5,20-29 | 50-59,51736
1,2,5,20-29 | >60,56640
1,2,5,30-39 | 30-39,17670
1,2,5,30-39 | 40-49,29176
1,2,5,30-39 | 50-59,35615
1,2,5,30-39 | >60,40519
1,2,5,40-49 | 40-49,11506
1,2,5,40-49 | 50-59,17945
1,2,5,40-49 | >60,22849
1,2,5,50-59 | 50-59,6439
1,2,5,50-59 | >60,11343
1,2,5,>60 | >60,4904
,,,,.
2,0,0,15-19 | 15-19,7920924
